Year,Revenue,COGS,GrossProfit,SG&A,R&D,OtherOpEx,D&A,EBITDA,EBIT,InterestExpense,PretaxIncome,Taxes,NetIncome,NetIncome_cf,D&A_cf,ChangeInWorkingCapital_cf,CFO_cf,Capex_cf,FCF_cf,CFI_cf,NetDebtIssuance_cf,Dividends_cf,CFF_cf,DeltaCash_cf,Cash,AR,Inventory,OtherCurrentAssets,NetPPE,GoodwillIntangibles,OtherNonCurrentAssets,TotalAssets,AP,ShortTermDebt,LongTermDebt,TotalDebt,OtherLiabilities,TotalLiabilities,RetainedEarnings,Equity,TotalLiabilitiesAndEquity
2021,142100000000,84098000000,58002000000,31472000000,0,0,19195000000,45725000000,26530000000,6626000000,29640000000,5508000000,20081000000,18639000000,17852000000,-4453000000,41957000000,-16527000000,25430000000,-32089000000,19788000000,-15068000000,1578000000,11446000000,19223000000,12313000000,3325000000,118114000000,143473000000,211961000000,19252000000,551622000000,29511000000,25865000000,151011000000,195832000000,142424000000,367767000000,42350000000,166332000000,551622000000
2022,120741000000,68869000000,51872000000,28563000000,0,0,18021000000,41330000000,23309000000,6154000000,-3094000000,3780000000,-8524000000,-7453000000,19098000000,-2287000000,32023000000,-19806000000,12217000000,-25805000000,-27071000000,-9859000000,-23741000000,-17523000000,3701000000,11466000000,3123000000,14818000000,149259000000,197341000000,19612000000,402853000000,31101000000,7597000000,128423000000,154679000000,110616000000,296396000000,-19415000000,97500000000,402853000000
2023,122428000000,68900000000,53528000000,28760000000,954000000,-954000000,18777000000,43545000000,24768000000,6684000000,19848000000,4225000000,14400000000,14400000000,18777000000,-4371000000,38314000000,-17853000000,20461000000,-19660000000,-6835000000,-8136000000,-15614000000,3040000000,6722000000,10289000000,2177000000,17270000000,149394000000,200356000000,19601000000,407060000000,27309000000,9477000000,127854000000,154899000000,105437000000,287645000000,-5015000000,103297000000,407060000000
2024,122336000000,69801000000,52535000000,28274000000,955000000,-955000000,20580000000,44841000000,24261000000,6680000000,16698000000,4445000000,10948000000,12253000000,20580000000,-1640000000,38771000000,-20263000000,18508000000,-17490000000,-13845000000,-8208000000,-24708000000,-3453000000,3298000000,9638000000,2270000000,15962000000,149780000000,195722000000,17830000000,394795000000,27433000000,5089000000,118443000000,140923000000,106214000000,274570000000,1871000000,104372000000,394795000000
2025,125648000000,72906000000,52742000000,29017000000,0,142000000,20886000000,44469000000,23583000000,6804000000,27007000000,3621000000,21889000000,23386000000,20886000000,-1196000000,40284000000,-20842000000,19442000000,-18777000000,8499000000,-8180000000,-6386000000,15197000000,18234000000,8843000000,2420000000,19235000000,154201000000,68679000000,147480000000,420198000000,38514000000,9011000000,146032000000,173986000000,79206000000,291706000000,15768000000,110533000000,420198000000
