,CFO,CFO,CFO,CFO,CFO,CFO,Cash,Cash,Cash,Cash,Cash,Cash,EBITDA,EBITDA,EBITDA,EBITDA,EBITDA,EBITDA,NetDebt_to_EBITDA,NetDebt_to_EBITDA,NetDebt_to_EBITDA,NetDebt_to_EBITDA,NetDebt_to_EBITDA,NetDebt_to_EBITDA,NetIncome,NetIncome,NetIncome,NetIncome,NetIncome,NetIncome,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,TotalDebt,TotalDebt,TotalDebt,TotalDebt,TotalDebt,TotalDebt
Scenario,base,custom,downside,energy_cost_strain,interest_rate_strain,upside,base,custom,downside,energy_cost_strain,interest_rate_strain,upside,base,custom,downside,energy_cost_strain,interest_rate_strain,upside,base,custom,downside,energy_cost_strain,interest_rate_strain,upside,base,custom,downside,energy_cost_strain,interest_rate_strain,upside,base,custom,downside,energy_cost_strain,interest_rate_strain,upside,base,custom,downside,energy_cost_strain,interest_rate_strain,upside
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,59499161383.37463,59499161383.37463,53578288235.55386,58642466483.41324,57170370336.70262,64861784685.20619,26485068216.734993,26485068216.734993,28891843088.106354,31706656672.444603,33661292055.740498,23512094202.603424,45132861100.0,45132861100.0,41452380060.0,42844434339.99999,44878591460.0,48697285300.0,2.7096356507777997,2.7096356507777997,3.0298024779759123,2.8632889436114755,2.757160059655294,2.4490626515065426,13659632530.360937,13659632530.360937,11061255998.266186,11742319748.481731,11330841483.688929,16031083166.302086,127134820000.0,127134820000.0,120852420000.0,127134820000.0,127134820000.0,133417220000.0,148778677674.89752,148778677674.89752,154484366911.89365,154382651813.4544,157398751962.83966,142774796860.592
2027,35867129648.17948,35867129648.17948,28706987395.513214,33819277546.246193,33532245847.937004,43320252855.24707,19055652562.066776,19055652562.066776,20998132291.263832,23858052340.72935,27019655740.21608,17043993682.85151,45860729519.32499,45860729519.32499,40047381261.375,43548423829.274994,45603806664.87499,51920124350.325,2.4618056580469334,2.4618056580469334,2.9814391422560256,2.6363062251516314,2.539079306883967,2.0476757240798626,14902558927.371685,14902558927.371685,11286403029.381165,12848918886.83087,12567675127.129206,18500771637.50451,128461427224.99998,128461427224.99998,116079365975.0,128461427224.99998,128461427224.99998,141471728475.0,131955855974.90106,131955855974.90106,140396962328.77774,138665033177.38867,142811337558.13733,123359571906.21976
2028,37071878386.8976,37071878386.8976,28047274537.10023,34984788293.14575,34857482057.041916,47083845420.63008,16006380061.447784,16006380061.447784,16780552591.021461,19381824098.123394,22810006605.48382,15090374747.509972,46642402073.83499,46642402073.83499,38726163829.6905,44310281970.14324,46383277617.86924,55405397491.78875,2.200628087900463,2.200628087900463,2.9162624340916348,2.394501319178554,2.30486049522381,1.6530900832455204,16011312072.714203,16011312072.714203,11408891834.691677,13920408299.848347,13796915742.858524,20921201550.8366,129562227982.87498,129562227982.87498,111282079970.375,129562227982.87498,129562227982.87498,149744317545.375,118648960152.27588,118648960152.27588,129716209384.02611,125482852728.80508,129716990825.9094,106680487899.46217
